id,es,en,de,EXPLANATIONS
PLAY_GAME,Jugar,Play,Starten,
SETTINGS,Ajustes,Settings,Optionen,
ABOUT,Info,About,Über,
SWITCH_SCREEN_CONTROLS,Usar botones táctiles,Use onscreen controls,Touch-Steuerung anzeigen,
SWITCH_RETRO_EFFECT,Simular pantalla retro,Simulate retro TV,Röhrenfernseher simulieren,
SWITCH_MUSIC,Música,Music,Musik,
SWITCH_SOUND,Sonidos,Sound,Ton,
BTTN_BACK,Volver,Back,Zurück,
TEXT_LICENSE,"El código fuente de este juego está licenciado bajo Geneal Public License versión 3. Todos los recursos gráficos, sonidos y música han sido creados por nosotros y están licenciados como Creative Commons Attribution-Non Commercial-Share Alike 4.0. La tipografía utilizada es Press Start 2P creada por CodeMan38 (Open Font License)

Puedes obtener el código fuente y los recusos en gitlab.com/dariasteam/cows-revenge

Hecho en Godot Engine 2.1.5 (MIT)","This game's code is licensed as General Public License version 3. All the graphics, sounds and music resources were made by us and are published as Creative Commons Attribution-Non Commercial-Share Alike 4.0 International. Font is Press Start 2P by CodeMan38 (Open Font License)

You can get the source code and assets at gitlab.com/dariasteam/cows-revenge

Made with Godot Engine 2.1.5 (MIT)
","Der Code dieses Spiels ist unter der General Public License Version 3 lizensiert. Alle Grafiken, Klänge und Musikstücke wurden von uns erstellt und unter Creative Commons Attribution-Non Commercial-Share Alike 4.0 International veröffentlicht. Als Schriftart wird Press Start 2P von CodeMan38 unter der Open Font License verwendet.

Der Quell-Code und alle weiteren Materialien stehen unter gitlab.com/dariasteam/cows-revenge zur Verfügung.

Erstellt mit Godot Engine 2.1.5 (MIT)",
CHAPTERS,Capítulos,Chapters,Kapitel,
EP1,La escuela,The school,Die Schule,
EP2,Gatear antes de caminar,Crawl before you walk,"Erst krabbeln, dann laufen",
EP3,Independizándose,Independence,Unabhängigkeit,
EP4,Una ubre y sus consecuencias,An udder and her consequences,Ein Euter und seine Folgen,
EP5,Siempre fiel,Always faithful,Immer treu,
EP6,Ucronía,Uchronia,Uchronie,
EP7,Sístole y Diástole,Systole and Diastole,Systole und Diastole,
EP8,Anfibios,Amphibious,Amphibisch,
EP9,R.U.B.E.N,R.U.B.E.N,R.U.B.E.N,
UFO_JAIL_COUNTER,Vuelve cuando hayas salvado a todas las gallinas. Te quedan: ,Come back when you have rescued all the hens. Remaining:,Komm wieder wenn du alle Hennen gerettet hast. Verbleibend: ,
DANIEL_INFO,"dariasteam94@gmail.com
Mastodon.social/@darias

- Código
- Gráficos
- Música
- Animaciones","dariasteam94@gmail.com
mastodon.social/@darias

- Code
- Sprites
- Music
- Animations","dariasteam94@gmail.com
Mastodon.social/@darias

- Code
- Sprites
- Musik
- Animationen",
YANARA_INFO,"needafreefall-@hotmail.com
twitter.com/yanaronna
instagam.com/yanaronna


- Gráficos
- Animaciones
- Diseño de personajes","needafreefall-@hotmail.com
twitter.com/yanaronna
instagam.com/yanaronna

- Sprites
- Animations
- Character design","needafreefall-@hotmail.com
twitter.com/yanaronna
instagam.com/yanaronna

- Sprites
- Animationen
- Charaktergestaltung",
BUY_HEART,Corazón,Heart,Herz,
BUY_MILK,Leche,Milk,Milch,
BTTN_LIFTOFF,Despegar,Liftoff,Abheben,
BTTN_RESUME,Reanudar,Resume,Fortfahren,
BTTN_RESET,Reiniciar,Reset,Zurücksetzen,
BTTN_EXIT,Salir,Exit,Verlassen,
BTTN_RESET_LEVEL,Reiniciar nivel,Reset level,Ebene zurücksetzen,
BTTN_MAIN_MENU,Ir al menú principal,Go to main menu,Zum Hauptmenü,
TUT_0,Este camino está bloqueado. Busca otra forma de desplazarte.,This way is blocked. Find another path.,Dieser weg ist versperrt. Finde einen anderen.,
TUT_1,Utiliza las teclas de dirección para moverte,Use arrows buttons to move,Laufe mit den Pfeiltasten,
TUT_2,Pulsa A o el botón del resorte para saltar por encima de estos bloques.,Press A or the space button to jump above these blocks,Drücke A oder die Leertaste um über diese Blöcke zu springen,
TUT_3,Puedes subir a las ramas de los árboles saltando desde abajo,You can climb to the branches jumping from below,Kletter auf Zweige indem du von unten hochspringst,
TUT_4,Salta!,Jump!,Spring!,
TUT_5,Puedes volver a bajar pulsando abajo,You can go down by pressing down button,Drücke nach unten um dich fallen zu lassen,
